snid,url,country
12790,gmetoday.org,Austria
12791,militarycme.com,Austria
12792,demandshore.com,Austria
12793,ccmreviewcourse.com,Austria
12794,martechadvisor.com,Austria
12795,hrtechnologist.com,Austria
12796,readitquik.com,Austria
12797,technology-signals.com,Austria
12798,revenu8.com,Austria
12800,Mosaik.com,Austria
12801,Sensorly.com,Austria
12928,medpagetoday.org,Austria
13013,www.mercialys.com,France
13014,www.lagalerie-pro.fr,France
13016,www.lagalerie-pro.com,France
13067,www.lovebeautyandplanet.com/cz,Czech Republic
13176,5k.avoid.work,Romania
13197,nespresso.com/pro/fr/,France
13230,goldbach.com,Austria
13254,at.bekindsnacks.com,Austria
13255,nl.bekindsnacks.com,Netherlands
13259,aussieoutages.com,Austria
13260,canadianoutages.com,Austria
13292,nespresso.com/mosaic/fr/,France
13577,whiskas.ro,Romania
13768,bkhacken.tmtickets.se,Canada
13834,simpleskincare.com/nl,Netherlands
14040,www.spar.fr,France
14049,ie.bekindsnacks.com,United Kingdom
14052,vetfocus.royalcanin.com/ru,Russia
14057,nescafe.be,Belgium
14093,ticket.lemans.org/,France
14205,lipid.care,Austria
14227,actii.com,Austria
14235,alexiafoods.com,Austria
14236,andycapps.com,Austria
14237,banquet.com,Austria
14238,blakesallnatural.com,Austria
14239,bluebonnet.com,Austria
14240,careers.conagrabrands.com,Austria
14244,conagrabrands.ca,Austria
14245,www.conagrabrands.com.mx,Austria
14246,conagrafoodservice.com,Austria
14247,conagranutrition.com,Austria
14248,crunchnmunch.com,Austria
14249,davidseeds.com,Austria
14250,dennisonschili.com,Austria
14251,dukesmeats.ca,Austria
14252,eggbeaters.com,Austria
14253,fiddlefaddlepopcorn.com,Austria
14254,fleischmanns.com,Austria
14255,guldens.com,Austria
14256,healthychoice.com,Austria
14257,hebrewnational.com,Austria
14258,hunts.com,Austria
14259,jiffypoppopcorn.com,Austria
14260,kidcuisine.com,Austria
14261,lachoy.com,Austria
14262,libbysmeats.com,Austria
14263,manwich.com,Austria
14264,mariecallendersmeals.com,Austria
14265,tnpride.com,Austria
14266,orville.com,Austria
14267,pamcookingspray.com,Austria
14268,parkay.com,Austria
14269,penrosesausage.com,Austria
14270,peterpanpb.com,Austria
14271,pfchangshomemenu.com,Austria
14272,ranchstylebeans.com,Austria
14273,readyseteat.com,Austria
14274,reddiwip.com,Austria
14275,rosarita.com,Austria
14276,ro-tel.com,Austria
14277,sandwichbros.com,Austria
14278,smartlabel.conagrabrands.com,Austria
14279,snackpack.com,Austria
14280,swissmiss.com,Austria
14281,vancampsbeans.com,Austria
14282,wessonoil.com,Austria
14283,wickedkitchen.com,Austria
14284,wolfbrandchili.com,Austria
14285,menshealth.com/es/,Canada
14286,womenshealthmag.com/es/,Canada
14287,runnersworld.com/es/,Canada
14324,nespresso.com/pro/de/,Germany
14325,www.nescafe.com/be,Belgium
14327,www.nescafe.com/bg/,Bulgaria
14330,www.nescafe.com/dk/,Denmark
14331,www.nescafe.com/fi/,Finland
14332,www.nescafe.com/gr/,Greece
14335,www.nescafe.com/pt/,Portugal
14337,www.nescafe.com/se/,Sweden
14351,drhorton.com,Austria
14353,oppenheimer.com,Austria
14355,nestlenutrition-institute.org/region/francophone,France
14360,www.babyganics.ca,Canada
14376,winwithmms.com/xmas19/se,Sweden
14379,nespresso.com/pro/be/,Belgium
14385,www.nestlepurelife.com/lb,Belgium
14401,nespresso.com/de/,Germany
14402,nespresso.com/mosaic/de/,Germany
14403,nespresso.com/be/,Belgium
14404,nespresso.com/mosaic/be/,Belgium
14433,nespresso.com/pro/nl/,Netherlands
14434,nespresso.com/nl/,Netherlands
14436,nespresso.com/mosaic/nl/,Netherlands
14439,nespresso.com/pro/cz/,Czech Republic
14441,xeljanz.eu,United States
14448,nespresso.com/gr/,Greece
14449,nespresso.com/mosaic/gr/,Greece
14455,conimex-nl-agency-starterkit.unileversolutions.com/,Netherlands
14457,www.provagratisolaznotte.it,Italy
14467,stoplameningite.fr,Canada
14472,bicycling.com/nl/,Canada
14473,runnersworld.com/nl/,Canada
14477,tickandlive.com,France
14481,www.vinciconaz.it,Italy
14484,www.nescafe.com/au/,Australia
14488,www.unileverfll.pl,Poland
14492,fronterafoods.ca,Austria
14494,iopodetu.it,Italy
14496,www.vival.fr,France
14497,www.casinoshop.fr,France
14518,safe-book.com,United States
14528,twixandcoffee.gr,Greece
14531,tripadvisor.com,Austria
14532,promotion.twix.de,Germany
14533,tierische-glueckswochen.de,Germany
14565,investor.drhorton.com,Austria
14570,unbouncepages.com/,Canada
14571,veet.ie,Ireland
14587,lacoladaperfecta.es,Spain
14590,gaviscon.ie,Ireland
14594,winwithsnickers.com/winter19/dk/,Denmark
14595,winwithsnickers.com/winter19/fi/,Finland
14597,winwithsnickers.com/winter19/se/,Sweden
14609,nespresso.com/pt/,Portugal
14610,nespresso.com/pro/pt/,Portugal
14611,nespresso.com/mosaic/pt/,Portugal
14617,www.andrehazeswinactie.nl,Netherlands
14623,www.nescafe.com/be/nl-be/,Belgium
14624,vitasprint.at,Canada
14629,passatempos.monday.pt/twix/twix2019es,Spain
14630,ratujpszczoly.com,Poland
14661,www.dashlenorperiltuobambino.it,Italy
14662,entradas.elparquemagico.es,Spain
14663,sessoes.parquedasmaravilhas.pt,Portugal
14672,www.nescafe.com,Canada
14673,www.witajpieknapolsko.pl/,Poland
14677,passatempos.monday.pt/twix/twix2019pt,Portugal
14681,ziploc.com.ar,Austria
14682,ziploc.com.ar,Canada
14689,concorsi.finishclub.it,Italy
14696,seances.leparcdesmerveilles.fr,France
14700,forestar.com,Austria
14701,forestar2018corp.q4web.com,Austria
14702,forestar2018corp.s3.q4web.com,Austria
14708,meine-halskette.de,Germany
14711,nespresso.com/pro/ie/,Ireland
14712,nespresso.com/ie/,Ireland
14728,www.lysoform.com.ar,Austria
14729,www.lysoform.com.ar,Canada
14732,www.babyganics.ca,Austria
14734,nespresso.com/mosaic/ie/,Ireland
14735,nespresso.com/pro/uk/,United Kingdom
14736,nespresso.com/uk/,United Kingdom
14737,nespresso.com/mosaic/uk/,United Kingdom
14749,retailerhub-shoppremiumoutlets.zendesk.com,United States
14759,www.occasioni-oralb.it,Italy
14768,nespresso.com/mosaic/it/,Italy
14814,nestle.bg/bg,Bulgaria
14817,www.20questionsaboutwater.com,France
14823,nescafe.cz,Czech Republic
14825,nescafe.sk,Slovakia
14826,www.nestlewaters-whatsad.com,France
14846,winwithextra.com/garmin19/se/,Sweden
14847,nespresso.com/mosaic/pro/at/,Austria
14848,nespresso.com/mosaic/pro/be/,Belgium
14849,nespresso.com/mosaic/pro/cz/,Czech Republic
14850,nespresso.com/mosaic/pro/de/,Germany
14851,nespresso.com/mosaic/pro/ie/,Ireland
14852,nespresso.com/mosaic/pro/lu/,Luxembourg
14853,nespresso.com/mosaic/pro/nl/,Netherlands
14854,nespresso.com/mosaic/pro/pt/,Portugal
14856,nespresso.com/mosaic/pro/uk/,United Kingdom
14862,app.wayin.com/preview/experience/a0819077-8726-4689-87a0-ea731cfd1a81/162809/details?stageMode=true&ptk=51a704f78ae2ba52b389431fcee18099,Germany
14866,tickets.wonderparkfilm.nl/,Netherlands
14870,xd.wayin.com/display/container/dc/2168907f-38a7-415f-bbd0-04bde5b71196/details,Germany
14872,doctorulzilei.ro,Romania
14884,tickets.whatmenwantfilm.nl,Netherlands
14885,www.whatmenwantfilm.nl/tickets,Netherlands
14898,businessmagazin.ro,Romania
14905,www.provagratisbalsamohs.it,Italy
14910,tickets.wonderparkmovie.ru,Russia
14911,www.parcdesmerveilles-lefilm.be,Belgium
15006,us-east-2.protection.sophos.com,United States
15014,antibiotic-history-timeline.eu,Canada
15015,schmidts.com/cz,Czech Republic
15038,syneoshealthlondon.co.uk/,Russia
15061,www.ed-behandlungen.de,Canada
15062,www.ed-behandelingen.nl,Canada
15070,pfwirfuersimpde-editorial.pfizersite.io,Canada
15130,murad.com.de/,Germany
15137,p-pille.dk,Denmark
15141,tools.runnersworld.com,Canada
15147,www.domestos.com/ro,Romania
15148,off.com.pl,Austria
15149,off.com.pl,Canada
15154,off-russia.ru,Austria
15155,off-russia.ru,Canada
15196,antenastars.ro,Austria
15202,yessnacks.cz,Czech Republic
15203,yessnacks.sk,Slovakia
15204,nespresso.com/hu/,Hungary
15205,nespresso.com/mosaic/hu/,Hungary
15210,nestle-cereals.com/it/,Italy
15213,www.comedycentral.tv/,Germany
15214,schmidts.com/be/fr,Belgium
15216,schmidts.com/dk,Denmark
15218,schmidts.com/fi,Finland
15220,schmidts.com/fr,France
15222,schmidts.com/hu,Hungary
15224,schmidts.com/nl,Netherlands
15226,schmidts.com/be/nl,Belgium
15230,schmidts.com/ro,Romania
15232,schmidts.com/sl,Slovenia
15234,schmidts.com/sv,Sweden
15240,downdetector.web.tr,Austria
15244,mycreativetype.com,Canada
15245,code.mtv.it,Italy
15251,www.nescafe.com/sk,Slovakia
15261,etcanada.com,Canada
15271,www.joinminim.com,United Kingdom
15313,debenhams.com,United Kingdom
15317,www.galloportugal.com/pt-br,Portugal
15318,www.galloportugal.com/en,Portugal
15319,galloportugal.com/palop,Portugal
15320,www.galloportugal.com/fr,Portugal
15321,www.galloportugal.com/de,Portugal
15322,www.galloportugal.com/pl,Poland
15323,www.galloportugal.com/es,Spain
15394,www.primacomedycentral.cz,Czech Republic
15395,www.comedycentral.hu/,Hungary
15396,www.comedycentral.pl/,Poland
15397,www.comedycentral.com.ro/,Romania
15398,www.comedycentral.es/,Spain
15399,www.comedycentral.it/,Italy
15402,www.paramountnetwork.es,Spain
15404,www.paramountnetwork.com,Canada
15423,yoda.ro,Romania
15440,www.comedycentralasia.com/,Australia
15446,nestlecocina.es,Spain
15455,www.benandjerry.cz/,Czech Republic
15456,www.ben-jerrys.es,Spain
15457,www.benjerry.pl,Poland
15458,www.benandjerrys.pt,Portugal
15497,valvert.factory.nestlewaters.com/fr-be,Belgium
15500,agriculture-durable.knorr.fr,France
15501,ernaehrungsstudio.nestle.de/home,Germany
15520,mariecallenders.ca,Austria
15533,nespresso.com/at/,Austria
15534,nespresso.com/be/,Belgium
15536,nespresso.com/de/,Germany
15539,nespresso.com/fr/,France
15540,nespresso.com/gr/,Greece
15541,nespresso.com/hu/,Hungary
15542,nespresso.com/ie/,Ireland
15547,nespresso.com/mosaic/be/,Belgium
15549,nespresso.com/mosaic/de/,Germany
15551,nespresso.com/mosaic/fr/,France
15553,nespresso.com/mosaic/gr/,Greece
15555,nespresso.com/mosaic/ie/,Ireland
15556,nespresso.com/mosaic/it/,Italy
15557,nespresso.com/mosaic/lu/,Luxembourg
15558,nespresso.com/mosaic/nl/,Netherlands
15559,nespresso.com/mosaic/pro/at/,Austria
15560,nespresso.com/mosaic/pro/be/,Belgium
15561,nespresso.com/mosaic/pro/cz/,Czech Republic
15562,nespresso.com/mosaic/pro/de/,Germany
15563,nespresso.com/mosaic/pro/ie/,Ireland
15564,nespresso.com/mosaic/pro/lu/,Luxembourg
15565,nespresso.com/mosaic/pro/nl/,Netherlands
15566,nespresso.com/mosaic/pro/pt/,Portugal
15567,nespresso.com/mosaic/pro/ro/,Romania
15568,nespresso.com/mosaic/pro/uk/,United Kingdom
15569,nespresso.com/mosaic/pt/,Portugal
15570,nespresso.com/mosaic/ro/,Romania
15573,nespresso.com/mosaic/uk/,United Kingdom
15574,nespresso.com/nl/,Netherlands
15576,nespresso.com/pro/be/,Belgium
15577,nespresso.com/pro/cz/,Czech Republic
15578,nespresso.com/pro/de/,Germany
15579,nespresso.com/pro/fr/,France
15580,nespresso.com/pro/ie/,Ireland
15582,nespresso.com/pro/nl/,Netherlands
15583,nespresso.com/pro/pt/,Portugal
15585,www.nestlepromo.be/purelife-nl,Belgium
15586,nespresso.com/pro/ro/,Romania
15587,nespresso.com/pro/uk/,United Kingdom
15588,nespresso.com/pt/,Portugal
15589,nespresso.com/ro/,Romania
15592,nespresso.com/uk/,United Kingdom
15621,hertogijs-nl-agency-starterkit.unileversolutions.com,Netherlands
15623,www.wunderpark.ch,United States
15624,www.parcdesmerveilles.ch,United States
15628,portfolio.ccpsx.com,Canada
15635,napiersurvey.com,Canada
15639,washclub.be/?lang=en,United Kingdom
15641,washclub.be/?lang=nl,Netherlands
15642,www.whatmenwantmovie.co.uk,United Kingdom
15672,www.seventhgeneration.nl,Netherlands
15673,global.seventhgeneration.com/netherlands,Netherlands
15680,www.pgdonaevinci.it,Italy
15699,www.mucizelerparkifilmi.com.tr/,United States
15725,www.gelateriacartedor.it,Italy
15727,pt.day2.com,Portugal
15728,de.day2.com,Germany
15730,www.schmidts.com/sk,Slovakia
15734,wabteccorp.com,Canada
15751,dmri.co.uk,Canada
15754,mein-baby.babyservice.de,Germany
15815,caranddriver.com,Austria
15824,tickets.whatmenwantmovie.ie,Ireland
15825,www.whatmenwantmovie.com/intl/nl/sistersquiz/,Netherlands
15826,genotropin.co.uk,Austria
15843,tickets.petsematary.nl,Netherlands
15870,www.nestle.nl,Netherlands
15885,www.nestle.sk,Slovakia
15886,gardengourmet.cz,Czech Republic
15897,www.purina-proplan.cz,Czech Republic
15898,www.yulaenergy.com,Belgium
15912,nestle.de,Germany
15927,future-proof-poc.netlify.com,United Kingdom
15932,www.nestle.hu,Hungary
15935,s1.lingaro.io/han,United Kingdom
15937,global.seventhgeneration.com/slovakia,Slovakia
15939,global.seventhgeneration.com/czechrepublic,Czech Republic
15940,love-control.nl,Canada
15941,global.seventhgeneration.com/sweden,Sweden
15942,global.seventhgeneration.com/finland,Finland
15943,global.seventhgeneration.com/unitedkingdom,United Kingdom
15950,nestlepromo.be,Belgium
15978,smartertravel.*,United States
15979,familyvacationcritic.*,United States
15980,whattopack.*,Canada
15981,www.sorrisiconazeoralb.it,Italy
15983,www.petsematary.co.uk,United Kingdom
15988,www.baygon.mx,Austria
15989,www.baygon.mx,Canada
15990,ziploc.com.au,Austria
15991,ziploc.com.au,Canada
15994,www2.rigaku.com,Austria
15995,www.discoverglobalnetwork.com,Austria
15999,www.wonderparkmovie.com,United Kingdom
16003,jetsetter.*,United States
16004,oyster.*,United States
16005,www.sonypictures.de,Germany
16006,www.sonypictures.at,Austria
16007,www.sonypictures.be/Flemish,Belgium
16008,www.sonypictures.be/French,France
16009,www.sonypictures.fr,France
16010,www.sonypictures.ca,Canada
16013,www.sonypictures.co.uk,United Kingdom
16016,www.sonypictures.es,Spain
16019,zatrzymajobjawyalergii.pl,Poland
16020,Fragmin.co.uk,Australia
16021,empresa.nestle.pt,Portugal
16023,www.freezinggood.se,Sweden
16024,www.paramountnetwork.it,Italy
16025,www.nestlepromo.be/20/CD97A999-06A8-2723-B9B3-8936403FF438/,Netherlands
16036,www.axe.com/pt,Portugal
16037,www.axe.com/es,Spain
16039,group.hugoboss.com/de/investors/-relations/aktie/analystenschaetzungen/,Austria
16041,www.leaderdrive.fr,France
16046,www.nestle.pk,United Kingdom
16059,cailler.ch/en,Austria
16060,seances.simetierre.fr,France
16061,www.simetierre-lefilm.be,Belgium
16062,www.petsemataryfilm.it,Italy
16065,wpproxi.groupecasino.axome.cc,France
16066,www.1000pro.fr,France
16074,nestle.gr,Greece
16077,www.provagratislenor.it,Italy
16078,pfizereupolicy.eu,Austria
16079,s-wcm.dinersclub.com,Canada
16083,tsys.discovernetwork.com,Austria
16088,einwilligung.pfizer.com,Canada
16091,www.hourglasscosmetics.com,United Kingdom
16093,www.zendium.be/nl,Belgium
16096,www.zendium.be/fr,France
16097,www.cornetto60.it,Italy
16098,nestle-akce.cz,Czech Republic
16099,www.purina.bg,Bulgaria
16111,apigee.io,Austria
16116,panteneohmygold.com,Italy
16125,skinadvisor.olaz.it,Italy
16126,global.seventhgeneration.com/denmark,Denmark
16127,global.seventhgeneration.com/hungary,Hungary
16128,global.seventhgeneration.com/romania,Romania
16129,global.seventhgeneration.com/poland,Poland
16130,de.petsematary.ch,Germany
16131,fr.petsematary.ch,France
16133,study.worldwidelearn.com,Austria
16142,www.petsematary-movie.be,Belgium
16155,morningstar.in,Canada
16158,hemocraft.com,United States
16166,www.provagratisfairyplatinum.it,Italy
16168,www.nestlenutrition-institute.org/region/cwar/en,Canada
16176,sessoes.samiteriodeanimais.pt/,Portugal
16180,global.seventhgeneration.com/spain,Spain
16181,global.seventhgeneration.com/portugal,Portugal
16182,global.seventhgeneration.com/greece,Greece
16187,www.nestle.pl,Poland
16188,www.nestle.lt,Lithuania
16189,www.nestle.ee,Estonia
16190,www.nestle.lv,Latvia
16195,dary.pfizer.cz,Canada
16212,d-wcm.dinersclub.com/,Canada
16245,lauf-dich-gesund-scholl.de,Austria
16250,www.tampax.eu/info,United Kingdom
16251,www.always.eu/info,United Kingdom
16255,www.mitalwaysindiekaribik.de,Germany
16278,www.nestle.com,Austria
16280,breyersdelights.pl,Poland
16310,imove.ws,Spain
16315,www.actieabonnement.nl,Canada
16316,www.dylanmagazine.nl,Canada
16317,natgeoshop.nl,Canada
16324,nespresso.com/mosaic/dk/,Denmark
16332,www.nestle.com/at,Austria
16333,oncoactivos.es,Spain
16335,nespresso.com/mosaic/dk/,Denmark
16336,nespresso.com/pl/,Poland
16337,nespresso.com/mosaic/pl/,Poland
16338,nespresso.com/pro/pl/,Poland
16339,nespresso.com/mosaic/pro/pl/,Poland
16340,nespresso.com/es/,Spain
16341,nespresso.com/mosaic/es/,Spain
16342,nespresso.com/pro/es/,Spain
16343,nespresso.com/mosaic/pro/es/,Spain
16356,bonka.es,Spain
16383,www.nestlenutrition-institute.org/country/cz,Czech Republic
16402,tvorimebudoucnost.cz,Canada
16405,festival.nickelodeon.nl,Netherlands
16406,tampaxcup.ca/fr/learnmore,Canada
16409,digicert.com,Austria
16421,www.braun-rimborsi2019.it,Italy
16422,www.braun-rimborsi2019lucepulsata.it,Italy
16432,www.theroast.comedycentral.nl/,Netherlands
16434,www.iniziaaswifferare.it,Italy
16436,rhumal.be/fr,France
16453,rhumal.be/nl,Netherlands
16457,www.cifcasa.it,Italy
16478,developer.cdkglobal.com,United States
16488,allestoringen.nl,Austria
16489,ziplocarabia.com,Austria
16490,ziplocarabia.com,Canada
16491,ziploc.com.my,Austria
16492,ziploc.com.my,Canada
16493,lysoformbrasil.com,Austria
16494,lysoformbrasil.com,Canada
16500,allestoringen.be,Austria
16501,xn--allestrungen-9ib.de,Austria
16502,xn--allestrungen-9ib.ch,Austria
16503,xn--allestrungen-9ib.at,Austria
16504,downdetector.be,Austria
16505,downdetector.ch,Austria
16506,downdetector.at,Austria
16507,downdetector.de,Austria
16508,downdetector.nl,Austria
16509,downdetector.sg,Austria
16510,downdetector.se,Austria
16511,downdetector.ru,Austria
16512,downdetector.pl,Austria
16513,downdetector.no,Austria
16514,downdetector.mx,Austria
16515,downdetector.jp,Austria
16516,downdetector.it,Austria
16517,downdetector.in,Austria
16518,downdetector.ie,Austria
16519,downdetector.hk,Austria
16520,downdetector.fr,Austria
16521,downdetector.fi,Austria
16522,downdetector.es,Austria
16523,downdetector.dk,Austria
16524,downdetector.cl,Austria
16525,downdetector.ae,Austria
16526,downdetector.co.uk,Austria
16527,downdetector.com.br,Austria
16528,downdetector.com.ar,Austria
16529,downdetector.co.za,Austria
16530,downdetector.co.nz,Austria
16531,downdetector.com.co,Austria
16532,downdetector.com.au,Austria
16554,www.nestle-cereals.com/be/fr/,Belgium
16557,nespresso.com/entreprise/,France
16577,division13.com,Canada
16589,www.lovebeautyandplanet.com/it,Italy
16590,www.lovebeautyandplanet.com/es,Spain
16596,lovebeautyandplanet.com/es,Spain
16597,lovebeautyandplanet.com/fr,France
16599,nicebynature.com,United Kingdom
16600,valvert.factory.nestlewaters.com/nl-be,Belgium
16608,pre.gengive-smalto-oralb.it,Italy
16614,www.lovebeautyandplanet.com/gr,Greece
16615,www.lovebeautyandplanet.com/pt,Portugal
16616,www.lovebeautyandplanet.com/ro,Romania
16627,www.rocketmanmovie.co.uk/,United Kingdom
16896,www.procterandgamble.ru/ru-RU/,Russia
16898,corporate.nestle.ca/en,Canada
16899,corporate.nestle.ca/fr,Canada
16938,www.valvert.be/nl-be,Belgium
16939,www.valvert.be/fr-be,Belgium
16940,www.yessnack.fr,France
16941,www.nestlebaby.ca/en,Canada
16942,www.nestlebaby.ca/fr,Canada
16944,www.cetaphil.pl,Poland
16951,rokotesuoja.fi,Canada
16953,www.hbicecream.ie,Ireland
16957,www.gengive-smalto-oralb.it,Italy
17081,www.professional.nescafe.be/NL,Belgium
17082,www.professional.nescafe.be/FR,Belgium
17084,www.purina.pl/proplan,Poland
17100,castleconnolly.com,Austria
17101,www.seventhgeneration.co.uk,United Kingdom
17110,lipton.com/be/nl,Belgium
17111,lipton.com/be/fr,Belgium
17134,sommergewinnspiel-2019-scholl.de,Germany
17138,www.oralbtirimborsa.it,Italy
17176,friendeal.it,Italy
17213,www.ofertasquecuidamdesi.com,Canada
17232,entradas.rocketmanlapelicula.com/,Spain
17236,www.rocketman-movie.be,Belgium
17249,deco.elle.nl,Australia
17250,magazine.elle.nl,United States
17251,abonnement.bicycling.nl,United States
17252,abonnement.elle.nl,United States
17253,abonnement.hearst.nl,United States
17254,abonnement.questjunior.nl,United States
17268,rocketman.movie,Austria
17348,seances.rocketman-lefilm.fr/,France
17351,downdetector.ca,United Kingdom
17385,fujitsu.com/gr,Greece
17397,www.rocketman-lefilm.be,Belgium
17399,www.rocketmanmovie.ie,Ireland
17421,nespresso.com/mosaic/pro/fr/,France
17423,nespresso.com/recipes/nl/,Netherlands
17426,downdetector.cz,Austria
17427,downdetector.ec,Austria
17428,downdetector.gr,Austria
17429,downdetector.hr,Austria
17430,downdetector.hu,Austria
17431,downdetector.id,Austria
17433,downdetector.my,Austria
17435,downdetector.pe,Austria
17437,downdetector.ph,Austria
17438,downdetector.pk,Austria
17439,downdetector.ro,Austria
17440,downdetector.sk,Austria
17448,www.timotei.com/fr,France
17449,eten.elle.nl,United States
17453,www.swirlsicecream.nl,Netherlands
17459,mydreft.com,Belgium
17491,tickets.rocketmanfilm.nl,Netherlands
17504,hellmanns-ambassadors.com,France
17530,nespresso.com/careers/,Netherlands
17532,www.enfamil.es,Austria
17540,www.realicedtea.com,United Kingdom
17560,at.special-t.com,Austria
17562,dolce-gusto.at,Austria
17563,gardengourmet.at,Austria
17568,kitkat.at,Austria
17569,maggi.at,Austria
17570,nescafe.at,Austria
17571,nestle.at,Austria
17572,nestle-cereals.com/at,Austria
17573,nestleprofessional.at,Austria
17575,nestlehealthscience.at,Austria
17577,optifasthome.at,Austria
17578,optifibre.at,Austria
17579,purina.at,Austria
17580,purina.at/beyond,Austria
17581,purina.at/hund/dentalife,Austria
17583,purina.at/katze/felix,Austria
17584,purina.at/katze/gourmet,Austria
17585,purina.at/katze/purina-one,Austria
17586,purina-stars.at/beyond/gluecksrad,Austria
17722,sony.be/cashback/fr,Belgium
17739,downdetector.pt,Austria
17826,s-wcm.discoverglobalnetwork.com,Canada
17827,d-wcm.discoverglobalnetwork.com,Canada
17854,downdetector.com,Austria
17869,ioscelgodove.it,Italy
17873,foundry.unilever.com,Canada
17892,sessoes.rocketman-ofilme.pt/,Portugal
17995,servicecenter.discoverglobalnetwork.com,Canada
18003,bookingbuddy.*,Austria
18004,onetime.*,United States
18005,airfarewatchdog.*,United States
18105,presence.tresemme.com,United Kingdom
18137,www.doratheexplorermovie.com/junglematch,United Kingdom
18141,www.doratheexplorermovie.com/jungleadventure,United Kingdom
18168,www.knorr.com/ukv1,United Kingdom
18196,www.theunileverfoundry.com,United Kingdom
18204,globalnews.ca,Austria
18223,wegmetvlekken.nl,Netherlands
18231,nestle-cereals-lottery.com/slovakia,Slovakia
18232,nestle-cereals-lottery.com/czech,Czech Republic
18264,lovebeautyandplanet.com/ru,Russia
18266,lovebeautyandplanet.com/dk,Denmark
